pEtaBin,jEtaBin,pPtBin,frac_L,frac_C,frac_B,fit_yield_L,fit_yield_C,fit_yield_B,chi2_jet0,chi2_jet1,chi2_jet2
0,0,0,0.6717018187727186,0.3282981812264994,7.819265997321406e-13,2111.7858555316925,1032.1476526260376,2.4583252378196363e-09,3.426962650933108,8.265919881587651,8.798157681964373
0,0,1,0.6541976943863927,0.31719246503303294,0.028609840580574284,7688.682462692261,3727.9130821228027,336.24695014953613,0.879262097202044,21.71270390422042,11.300629029085624
0,0,2,0.5931472154291766,0.322676212239804,0.08417657233101947,4879.369102478027,2654.4107418060303,692.4563674926758,1.403499843768878,16.26931076009612,5.3863748567061025
0,0,3,0.5686521063083777,0.3267438605859339,0.10460403310568847,3243.337925026219,1863.6012125015259,596.6147384643555,0.7814628915595764,10.63980601340085,3.2610409474379964
0,0,4,0.6037890544913103,0.27413310520999423,0.12207784029869553,5853.638418928873,2657.6766581325755,1183.5251579284668,0.6794756554682596,15.490091141535547,7.9478323669821105
0,0,5,0.636826306657906,0.23352752032054355,0.12964617302155043,4256.818615718219,1560.9975363612175,866.6103096008301,1.2445162344424097,12.722366057174568,4.946812353496369
0,0,6,0.6486348568223738,0.25147691768965474,0.09988822548797144,8468.021759748459,3283.0674896240234,1304.0552139282227,2.2804259592033946,15.809807770110675,7.859050125922591
0,0,7,0.6780367380565526,0.2058782150809349,0.11608504686251245,140848.52642059326,42767.06790161133,24114.33905029297,35.095181836886326,256.26599369644657,260.3683501179829
0,0,8,0.7321408087812504,0.16428490580884214,0.10357428540990744,43710.12727355957,9808.105293273926,6183.571716308594,9.438527724427317,87.87844754398283,113.5968480082725
0,0,9,0.7088714302084207,0.1972685032226586,0.09386006656892078,18841.521701812744,5243.318641662598,2494.7633743286133,5.917355535922221,13.906790951426126,31.23511974592254
0,0,10,0.7008130838405229,0.23142101086897027,0.06776590529050683,9224.163288116455,3045.9836463928223,891.9407901763916,5.744759502938527,28.1757301799867,19.492032719773857
0,0,11,0.7498630508032335,0.18110524341242645,0.06903170578434008,8401.35969543457,2029.077564239502,773.421480178833,15.654487274256407,15.934449563283316,22.278642351073916
0,0,12,0.7706251890023319,0.15707182657360372,0.07230298442406435,4250.1884841918945,866.2899656295776,398.768838804378,17.39243679769849,13.69461382060055,17.13896799995193
0,0,13,0.7495586429865594,0.19148726117750411,0.058954095835936506,1068.0114154815674,272.8413350582123,84.00096234138621,3.2872381933496135,10.46370058304969,8.86386229034813
0,1,0,0.9777322830079402,0.013256586472168212,0.009011130519891513,1202.9273244142532,16.30989420413971,11.086608588695526,2.3350516824872125,2.5289648574578147,3.3420848419348412
0,1,1,0.7109808056748023,0.2465656955376299,0.042453498787567885,3264.651559829712,1132.1699209213257,194.93617820739746,0.9827876534666361,9.118455714311214,8.581180702493242
0,1,2,0.7609370456109216,0.18321849981643126,0.055844454572647126,2201.406247973442,530.0548219680786,161.55913543701172,0.6767387023223539,10.670745819255494,5.079027363244645
0,1,3,0.7373589745728697,0.14038827333772735,0.12225275208940295,1455.7330059784,277.16193902492523,241.35783576965332,0.598349683019664,6.529077895352901,2.8278986518475313
0,1,4,0.7343191161139898,0.1448989803534034,0.12078190353260686,2451.161166071892,483.67357712984085,403.17064476013184,1.3628341861572049,6.73811245380767,1.5387747242234018
0,1,5,0.7842325428023318,0.1123333699524584,0.10343408724520985,1701.0051165223122,243.65175712108612,224.34915924072266,0.556765003405303,6.305621888699086,1.071220437688902
0,1,6,0.8110418946905316,0.07847068277977916,0.11048742252968932,3518.1430002450943,340.3906569480896,479.27308654785156,1.0767638749807993,11.49557421271421,1.103887603732581
0,1,7,0.7718259995265745,0.13712483639220785,0.09104916408121767,49507.15763092041,8795.584619522095,5840.15739440918,7.3130186416816265,107.40594209624166,22.210514755329314
0,1,8,0.7962019446124149,0.10852742638630666,0.0952706290012784,13445.892892837524,1832.7613503078535,1608.8866424560547,3.7300263343317965,23.06633025494798,3.0321176546079602
0,1,9,0.907309045707866,0.021995202261324818,0.07069575203080918,6280.0966720581055,152.24360120296478,489.33288955688477,5.696744025838898,9.83452166627665,8.292435689318715
0,1,10,0.867873388316811,0.06526917595340087,0.06685743572978811,2652.8453617095947,199.50955176353455,204.36441612243652,3.9545817070574696,4.032705076921351,0.5807507938934945
0,1,11,0.88097715856532,0.08798892759285981,0.031033913841820165,1987.8423891067505,198.5387683898308,70.02511794417063,2.794223771176183,5.055152817319661,2.5819043412376415
0,1,12,0.9062391855396034,0.03021263445966443,0.0635481800007322,755.5660355494198,25.189421078277633,52.9825317594765,2.3080871244124888,1.704847650644342,3.7687105335900686
0,1,13,0.8884444419353681,0.09353388192312254,0.018021676141509436,94.79756297837241,9.980122159246838,1.9229238187128583,5.566429602777851,2.649090842356971,1.5704166370293415
1,0,0,0.6432978965275418,0.356702077736256,2.5736202160446888e-08,767.9630183577538,425.82760763168335,3.0723637678420346e-05,0.8508754296740572,6.872705530217148,4.274024144891501
1,0,1,0.762415077510957,0.21326811592569622,0.024316806563346737,3501.889057159424,979.5730743408203,111.69081163406372,2.2871713697494407,2.884100814363008,4.721677725510419
1,0,2,0.7061133573589229,0.22590919675766602,0.06797744588341109,2154.6724662291745,689.3515340685844,207.43005275726318,1.1202928563974661,7.314870352926115,6.615373568556697
1,0,3,0.6773067182065667,0.24368323918088738,0.0790100426125459,1487.2356835007668,535.0816683769226,173.49090385437012,0.5824916935698458,2.438120367911046,1.343515359217503
1,0,4,0.718834456453351,0.19116437511248974,0.09000116843415931,2636.1696132421494,701.0539245605469,330.0597839355469,2.5102250958830785,4.628272011179618,2.904582178741217
1,0,5,0.7611799847766479,0.14964022587329992,0.08917978935005215,1994.9213517904282,392.1812024116516,233.72483444213867,1.270950431416359,7.951785048070901,3.3806728414123093
1,0,6,0.7119734821199873,0.1863663720509277,0.10166014582908493,3565.001555919647,933.1757755279541,509.03381538391113,1.6072119238332938,5.911627199504171,4.488838545114732
1,0,7,0.7332380829310962,0.1643466695481336,0.10241524752077036,55808.679895870795,12508.857472459124,7795.093978881836,7.886482841039476,71.43845095261969,108.84684772046946
1,0,8,0.7048927151917502,0.1965744630145341,0.09853282179371559,14693.881578831159,4097.704258685882,2053.97159576416,7.690003348051736,20.526081804778773,26.054610638067643
1,0,9,0.8679709272715102,0.07641181473520034,0.055617257993289544,7757.2744064331055,682.911600112915,497.0654182434082,7.7099183372591416,19.039618704962155,28.25642108542858
1,0,10,0.7301613363819733,0.18547410877286358,0.08436455484516317,3087.6210165023804,784.3112579773137,356.75098037719727,1.8766240014612785,5.80685525544281,22.154215733049803
1,0,11,0.8044863665416185,0.11515279762369462,0.08036083583468687,2492.151351928711,356.7222667923454,248.94314434249077,2.1732889432431657,1.9389091670085483,18.201970588725974
1,0,12,0.7988491035838664,0.17310034967640642,0.02805054673972713,953.1675791740417,206.53918307604226,33.469239197321166,5.182967534307339,4.417953730734853,5.615676164216122
1,0,13,0.8884982509068399,0.06405077506922817,0.04745097402393202,145.3590859551623,10.4787624615807,7.763020585309079,2.9098083005425996,3.0395810140575823,6.732715444073937
1,1,0,0.8904718485880913,0.10952815141122489,6.838843019730291e-13,665.7287016510963,81.88471555709839,5.112810799734469e-10,4.02784507341658,4.638976924105669,2.3292282391771733
1,1,1,0.7308613458336988,0.2557833189465009,0.013355335219800278,2000.4838403463364,700.119658946991,36.555678367614746,1.0466650559377688,9.064666470510941,5.529641559058529
1,1,2,0.7166708903265,0.20662982748898484,0.07669928218451513,1417.8394344560802,408.7900341749191,151.7394781112671,0.5340529251751727,4.330422796348907,1.838327159196461
1,1,3,0.8415065301620286,0.05817206411733378,0.10032140572063765,1243.3717789649963,85.95239639282227,148.2303466796875,0.5888806187802064,3.8081899948241644,0.759546635613826
1,1,4,0.7747814856791365,0.15058592918374172,0.07463258513712179,1784.8471608078876,346.9015111088071,171.92945384979248,0.9055974390092048,8.748371932608695,2.286441258736316
1,1,5,0.790772770040345,0.12808973573095564,0.0811374942286994,1275.6178921163082,206.62517082691193,130.88518381118774,0.7882107881061401,4.600357072357018,1.6680583623880643
1,1,6,0.9045536315998924,8.35655469050244e-08,0.09544628483456065,2768.869862128142,0.0002557970210437716,292.1643695831299,0.967599461303032,9.488423235896839,0.7476109796171835
1,1,7,0.8284411648883079,0.09251669313929212,0.0790421419724,36366.51769447327,4061.2539558410645,3469.754493713379,12.82116883407134,92.51177506465899,6.233081418063329
1,1,8,0.8376253006740089,0.09403737290042753,0.06833732642556369,9209.147115971524,1033.8799469675364,751.3245983123779,5.468128880731022,12.814704403549834,2.7860807187192993
1,1,9,0.9022112211331379,0.04772255309623736,0.05006622577062485,3852.048819541931,203.75450893750389,213.76097011566162,3.96664835372669,12.898846093972061,4.938466441038812
1,1,10,0.9327533182949247,0.01150040693794136,0.055746274767133855,1541.8827854316532,19.010684963828574,92.15107545531026,1.5804772269718115,1.8943874578475197,1.5985529860044858
1,1,11,0.850427374630364,0.11328949755312948,0.036283127816506444,881.5658954852951,117.43760882922295,37.61163976932015,3.1820727314050616,2.381306517888367,2.215739401187497
1,1,12,0.8619167111732796,0.09430623840395726,0.043777050422763135,218.8671111474003,23.94724884096437,11.116336922556792,7.966994818414701,2.6550177867019062,2.896628016541358
